plasmid_0;30_53-30_53-,23_0+,23_0+
# 30_52	0.5382902938557436	0.5445235975066786	1	2246
# 30_119	0.5382902938557436	0.5445235975066786	1	2246

plasmid_32;30_19+,30_208+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_19	0.5382902938557436	0.5445235975066786	1	2246
# 30_208	0.5382902938557436	0.5445235975066786	1	2246

plasmid_33;30_4+,30_28+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_4	0.5382902938557436	0.5445235975066786	1	2246
# 30_28	0.5382902938557436	0.5445235975066786	1	2246

plasmid_34;30_43-,30_102-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_43	0.5382902938557436	0.5445235975066786	1	2246
# 30_102	0.5382902938557436	0.5445235975066786	1	2246

plasmid_35;30_15-,30_141-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_15	0.5382902938557436	0.5445235975066786	1	2246
# 30_141	0.5382902938557436	0.5445235975066786	1	2246

plasmid_36;30_113+,30_133+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_113	0.5382902938557436	0.5445235975066786	1	2246
# 30_133	0.5382902938557436	0.5445235975066786	1	2246

plasmid_37;30_13+,30_174+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_13	0.5382902938557436	0.5445235975066786	1	2246
# 30_174	0.5382902938557436	0.5445235975066786	1	2246

plasmid_38;30_51+,30_179+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_51	0.5382902938557436	0.5445235975066786	1	2246
# 30_179	0.5382902938557436	0.5445235975066786	1	2246

plasmid_39;30_20+,30_159+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_20	0.5382902938557436	0.5445235975066786	1	2246
# 30_159	0.5382902938557436	0.5445235975066786	1	2246

plasmid_40;30_49-,30_120-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_49	0.5382902938557436	0.5445235975066786	1	2246
# 30_120	0.5382902938557436	0.5445235975066786	1	2246

plasmid_41;30_82-,30_84-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_82	0.5382902938557436	0.5445235975066786	1	2246
# 30_84	0.5382902938557436	0.5445235975066786	1	2246

plasmid_42;30_139+,30_190+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_139	0.5382902938557436	0.5445235975066786	1	2246
# 30_190	0.5382902938557436	0.5445235975066786	1	2246

plasmid_43;30_74-,30_178-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_74	0.5382902938557436	0.5445235975066786	1	2246
# 30_178	0.5382902938557436	0.5445235975066786	1	2246

plasmid_44;30_22+,30_143+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_22	0.5382902938557436	0.5445235975066786	1	2246
# 30_143	0.5382902938557436	0.5445235975066786	1	2246

plasmid_45;30_62+,30_66+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_62	0.5382902938557436	0.5445235975066786	1	2246
# 30_66	0.5382902938557436	0.5445235975066786	1	2246

plasmid_46;30_112-,30_166-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_112	0.5382902938557436	0.5445235975066786	1	2246
# 30_166	0.5382902938557436	0.5445235975066786	1	2246

plasmid_47;30_65-,30_161-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_65	0.5382902938557436	0.5445235975066786	1	2246
# 30_161	0.5382902938557436	0.5445235975066786	1	2246

plasmid_48;30_57-,30_88-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_57	0.5382902938557436	0.5445235975066786	1	2246
# 30_88	0.5382902938557436	0.5445235975066786	1	2246

plasmid_49;30_32-,30_176-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_32	0.5382902938557436	0.5445235975066786	1	2246
# 30_176	0.5382902938557436	0.5445235975066786	1	2246

plasmid_50;30_97+,30_142+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_97	0.5382902938557436	0.5445235975066786	1	2246
# 30_142	0.5382902938557436	0.5445235975066786	1	2246

plasmid_51;30_11-,30_38-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_11	0.5382902938557436	0.5445235975066786	1	2246
# 30_38	0.5382902938557436	0.5445235975066786	1	2246

plasmid_52;30_125-,30_131-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_125	0.5382902938557436	0.5445235975066786	1	2246
# 30_131	0.5382902938557436	0.5445235975066786	1	2246

plasmid_53;30_95+,30_136+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_95	0.5382902938557436	0.5445235975066786	1	2246
# 30_136	0.5382902938557436	0.5445235975066786	1	2246

plasmid_54;30_124-,30_158-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_124	0.5382902938557436	0.5445235975066786	1	2246
# 30_158	0.5382902938557436	0.5445235975066786	1	2246

plasmid_55;30_147-,30_200-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_147	0.5382902938557436	0.5445235975066786	1	2246
# 30_200	0.5382902938557436	0.5445235975066786	1	2246

plasmid_56;30_122+,30_211+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_122	0.5382902938557436	0.5445235975066786	1	2246
# 30_211	0.5382902938557436	0.5445235975066786	1	2246

plasmid_57;30_100+,30_171+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_100	0.5382902938557436	0.5445235975066786	1	2246
# 30_171	0.5382902938557436	0.5445235975066786	1	2246

plasmid_58;30_61-30_61-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_61	0.5382902938557436	0.5445235975066786	1	2246
# 30_61	0.5382902938557436	0.5445235975066786	1	2246

plasmid_59;30_76-30_76-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_76	0.5382902938557436	0.5445235975066786	1	2246
# 30_76	0.5382902938557436	0.5445235975066786	1	2246

plasmid_60;30_170+30_170+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_170	0.5382902938557436	0.5445235975066786	1	2246
# 30_170	0.5382902938557436	0.5445235975066786	1	2246

plasmid_61;30_48-,30_145-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_48	0.5382902938557436	0.5445235975066786	1	2246
# 30_145	0.5382902938557436	0.5445235975066786	1	2246

plasmid_62;30_154+,30_192+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_154	0.5382902938557436	0.5445235975066786	1	2246
# 30_192	0.5382902938557436	0.5445235975066786	1	2246

plasmid_63;30_118-,30_207-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_118	0.5382902938557436	0.5445235975066786	1	2246
# 30_207	0.5382902938557436	0.5445235975066786	1	2246

plasmid_64;30_70-,30_117-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_70	0.5382902938557436	0.5445235975066786	1	2246
# 30_117	0.5382902938557436	0.5445235975066786	1	2246

plasmid_65;30_96-,30_111-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_96	0.5382902938557436	0.5445235975066786	1	2246
# 30_111	0.5382902938557436	0.5445235975066786	1	2246

plasmid_66;30_6-,30_160-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_6	0.5382902938557436	0.5445235975066786	1	2246
# 30_160	0.5382902938557436	0.5445235975066786	1	2246

plasmid_67;30_162-,30_189-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_162	0.5382902938557436	0.5445235975066786	1	2246
# 30_189	0.5382902938557436	0.5445235975066786	1	2246

plasmid_68;30_187-,30_210-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_187	0.5382902938557436	0.5445235975066786	1	2246
# 30_210	0.5382902938557436	0.5445235975066786	1	2246

plasmid_69;30_205+,30_212+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_205	0.5382902938557436	0.5445235975066786	1	2246
# 30_212	0.5382902938557436	0.5445235975066786	1	2246

plasmid_70;30_18+30_18+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_18	0.5382902938557436	0.5445235975066786	1	2246
# 30_18	0.5382902938557436	0.5445235975066786	1	2246

plasmid_71;30_40+,30_106+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_40	0.5382902938557436	0.5445235975066786	1	2246
# 30_106	0.5382902938557436	0.5445235975066786	1	2246

plasmid_72;30_90+,30_104+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_90	0.5382902938557436	0.5445235975066786	1	2246
# 30_104	0.5382902938557436	0.5445235975066786	1	2246

plasmid_73;30_41-,30_185-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_41	0.5382902938557436	0.5445235975066786	1	2246
# 30_185	0.5382902938557436	0.5445235975066786	1	2246

plasmid_74;30_73-,30_86-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_73	0.5382902938557436	0.5445235975066786	1	2246
# 30_86	0.5382902938557436	0.5445235975066786	1	2246

plasmid_75;30_23-,30_69-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_23	0.5382902938557436	0.5445235975066786	1	2246
# 30_69	0.5382902938557436	0.5445235975066786	1	2246

plasmid_76;30_55+,30_173+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_55	0.5382902938557436	0.5445235975066786	1	2246
# 30_173	0.5382902938557436	0.5445235975066786	1	2246

plasmid_77;30_68-,30_169-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_68	0.5382902938557436	0.5445235975066786	1	2246
# 30_169	0.5382902938557436	0.5445235975066786	1	2246

plasmid_78;30_56-,30_181-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_56	0.5382902938557436	0.5445235975066786	1	2246
# 30_181	0.5382902938557436	0.5445235975066786	1	2246

plasmid_79;30_45+,30_204+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_45	0.5382902938557436	0.5445235975066786	1	2246
# 30_204	0.5382902938557436	0.5445235975066786	1	2246

plasmid_80;30_77+,30_186+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_77	0.5382902938557436	0.5445235975066786	1	2246
# 30_186	0.5382902938557436	0.5445235975066786	1	2246

plasmid_81;30_54-,30_216-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_54	0.5382902938557436	0.5445235975066786	1	2246
# 30_216	0.5382902938557436	0.5445235975066786	1	2246

plasmid_82;30_89+,30_156+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_89	0.5382902938557436	0.5445235975066786	1	2246
# 30_156	0.5382902938557436	0.5445235975066786	1	2246

plasmid_83;30_5-,30_175-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_5	0.5382902938557436	0.5445235975066786	1	2246
# 30_175	0.5382902938557436	0.5445235975066786	1	2246

plasmid_84;30_35+,30_140+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_35	0.5382902938557436	0.5445235975066786	1	2246
# 30_140	0.5382902938557436	0.5445235975066786	1	2246

plasmid_85;30_2+30_2+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_2	0.5382902938557436	0.5445235975066786	1	2246
# 30_2	0.5382902938557436	0.5445235975066786	1	2246

plasmid_86;30_12-30_12-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_12	0.5382902938557436	0.5445235975066786	1	2246
# 30_12	0.5382902938557436	0.5445235975066786	1	2246

plasmid_87;30_137-,30_150-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_137	0.5382902938557436	0.5445235975066786	1	2246
# 30_150	0.5382902938557436	0.5445235975066786	1	2246

plasmid_88;30_58-,30_78-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_58	0.5382902938557436	0.5445235975066786	1	2246
# 30_78	0.5382902938557436	0.5445235975066786	1	2246

plasmid_89;30_36-,30_152-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_36	0.5382902938557436	0.5445235975066786	1	2246
# 30_152	0.5382902938557436	0.5445235975066786	1	2246

plasmid_90;30_93+,30_101+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_93	0.5382902938557436	0.5445235975066786	1	2246
# 30_101	0.5382902938557436	0.5445235975066786	1	2246

plasmid_91;30_108-,30_144-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_108	0.5382902938557436	0.5445235975066786	1	2246
# 30_144	0.5382902938557436	0.5445235975066786	1	2246

plasmid_92;30_99-,30_202-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_99	0.5382902938557436	0.5445235975066786	1	2246
# 30_202	0.5382902938557436	0.5445235975066786	1	2246

plasmid_93;30_79-,30_182-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_79	0.5382902938557436	0.5445235975066786	1	2246
# 30_182	0.5382902938557436	0.5445235975066786	1	2246

plasmid_94;30_105-,30_132-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_105	0.5382902938557436	0.5445235975066786	1	2246
# 30_132	0.5382902938557436	0.5445235975066786	1	2246

plasmid_95;30_83+30_83+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_83	0.5382902938557436	0.5445235975066786	1	2246
# 30_83	0.5382902938557436	0.5445235975066786	1	2246

plasmid_96;30_9+30_9+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_9	0.5382902938557436	0.5445235975066786	1	2246
# 30_9	0.5382902938557436	0.5445235975066786	1	2246

plasmid_97;30_21+30_21+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_21	0.5382902938557436	0.5445235975066786	1	2246
# 30_21	0.5382902938557436	0.5445235975066786	1	2246

plasmid_98;30_71-,30_155-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_71	0.5382902938557436	0.5445235975066786	1	2246
# 30_155	0.5382902938557436	0.5445235975066786	1	2246

plasmid_99;30_42+30_42+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_42	0.5382902938557436	0.5445235975066786	1	2246
# 30_42	0.5382902938557436	0.5445235975066786	1	2246

plasmid_100;30_130+30_130+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_130	0.5382902938557436	0.5445235975066786	1	2246
# 30_130	0.5382902938557436	0.5445235975066786	1	2246

plasmid_101;30_135+30_135+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_135	0.5382902938557436	0.5445235975066786	1	2246
# 30_135	0.5382902938557436	0.5445235975066786	1	2246

plasmid_102;30_146+30_146+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_146	0.5382902938557436	0.5445235975066786	1	2246
# 30_146	0.5382902938557436	0.5445235975066786	1	2246

plasmid_103;30_87-30_87-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_87	0.5382902938557436	0.5445235975066786	1	2246
# 30_87	0.5382902938557436	0.5445235975066786	1	2246

plasmid_104;30_33+30_33+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_33	0.5382902938557436	0.5445235975066786	1	2246
# 30_33	0.5382902938557436	0.5445235975066786	1	2246

plasmid_105;30_206-30_206-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_206	0.5382902938557436	0.5445235975066786	1	2246
# 30_206	0.5382902938557436	0.5445235975066786	1	2246

plasmid_106;30_24+30_24+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_24	0.5382902938557436	0.5445235975066786	1	2246
# 30_24	0.5382902938557436	0.5445235975066786	1	2246

plasmid_107;30_26-,30_129-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_26	0.5382902938557436	0.5445235975066786	1	2246
# 30_129	0.5382902938557436	0.5445235975066786	1	2246

plasmid_108;30_91-30_91-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_91	0.5382902938557436	0.5445235975066786	1	2246
# 30_91	0.5382902938557436	0.5445235975066786	1	2246

plasmid_109;30_63-30_63-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_63	0.5382902938557436	0.5445235975066786	1	2246
# 30_63	0.5382902938557436	0.5445235975066786	1	2246

plasmid_110;30_116+30_116+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_116	0.5382902938557436	0.5445235975066786	1	2246
# 30_116	0.5382902938557436	0.5445235975066786	1	2246

plasmid_111;30_194-,30_195-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_194	0.5382902938557436	0.5445235975066786	1	2246
# 30_195	0.5382902938557436	0.5445235975066786	1	2246

plasmid_112;30_198+30_198+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_198	0.5382902938557436	0.5445235975066786	1	2246
# 30_198	0.5382902938557436	0.5445235975066786	1	2246

plasmid_113;30_148+,30_177+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_148	0.5382902938557436	0.5445235975066786	1	2246
# 30_177	0.5382902938557436	0.5445235975066786	1	2246

plasmid_114;30_149+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_149	0.5382902938557436	0.5445235975066786	1	2246

