Contig	Gene_coverage	Read_depth	GC_cont	Length
3	0.0	0.999926516284	0.521032182937	724794
Link list:	(('35', 'h'), ('3', 'h'))	(('58', 'h'), ('3', 't'))	
7	0.0	1.0481946301	0.521819382334	199914
Link list:	(('35', 'h'), ('7', 't'))	(('43', 'h'), ('7', 'h'))	
39	0.919587628866	3.62121029795	0.441237113402	485
Link list:	(('39', 'h'), ('15', 't'))	(('39', 'h'), ('74', 't'))	(('73', 'h'), ('39', 'h'))	(('74', 't'), ('39', 't'))	(('39', 't'), ('15', 't'))	
38	0.0	8.37757942309	0.544933078394	523
Link list:	(('38', 'h'), ('61', 't'))	(('47', 'h'), ('38', 'h'))	(('65', 'h'), ('38', 't'))	(('83', 'h'), ('38', 't'))	
33	0.0	2.48682052883	0.545659526494	887
Link list:	(('5', 'h'), ('33', 't'))	(('33', 'h'), ('17', 't'))	(('33', 'h'), ('18', 't'))	(('33', 't'), ('21', 't'))	
32	0.0	9.44479742513	0.556167400881	908
Link list:	(('62', 'h'), ('32', 't'))	(('66', 'h'), ('32', 'h'))	(('67', 'h'), ('32', 'h'))	(('63', 't'), ('32', 't'))	
31	0.861538461538	2.69141341173	0.563562753036	1235
Link list:	(('31', 'h'), ('52', 't'))	(('48', 'h'), ('31', 't'))	
30	0.831628638867	6.03953938017	0.555468135327	1271
Link list:	(('30', 'h'), ('52', 't'))	(('48', 'h'), ('30', 't'))	
37	1.0	3.91671168132	0.458955223881	536
Link list:	(('14', 'h'), ('37', 't'))	(('37', 'h'), ('14', 'h'))	(('37', 'h'), ('73', 't'))	(('74', 'h'), ('37', 't'))	
36	0.993299832496	5.97893409871	0.641541038526	597
Link list:	(('23', 'h'), ('36', 't'))	(('26', 'h'), ('36', 't'))	(('36', 'h'), ('27', 'h'))	(('36', 'h'), ('13', 't'))	
35	0.890718562874	3.24821466702	0.461077844311	668
Link list:	(('35', 'h'), ('3', 'h'))	(('35', 'h'), ('6', 't'))	(('35', 'h'), ('7', 't'))	(('75', 't'), ('35', 't'))	
34	0.0	1.50650677644	0.572670807453	805
Link list:	(('34', 'h'), ('43', 't'))	(('43', 'h'), ('34', 't'))	
60	0.0	6.41477778929	0.327102803738	107
Link list:	(('54', 'h'), ('60', 't'))	(('60', 'h'), ('66', 't'))	(('60', 'h'), ('67', 't'))	(('81', 'h'), ('60', 't'))	(('80', 't'), ('60', 't'))	
61	0.0	5.37412745886	0.481132075472	106
Link list:	(('38', 'h'), ('61', 't'))	(('61', 'h'), ('41', 't'))	
62	0.0	3.21148297029	0.514851485149	101
Link list:	(('62', 'h'), ('32', 't'))	(('78', 't'), ('62', 't'))	(('77', 't'), ('62', 't'))	
63	0.0	8.35443126287	0.514851485149	101
Link list:	(('63', 'h'), ('77', 't'))	(('63', 'h'), ('78', 't'))	(('63', 't'), ('32', 't'))	
64	0.0	2.4362358764	0.49	100
Link list:	(('17', 'h'), ('64', 't'))	(('18', 'h'), ('64', 't'))	(('64', 'h'), ('57', 'h'))	(('64', 'h'), ('54', 't'))	
65	0.0	1.53821530197	0.479166666667	96
Link list:	(('29', 'h'), ('65', 't'))	(('65', 'h'), ('38', 't'))	
66	0.0	4.57476908306	0.546875	64
Link list:	(('60', 'h'), ('66', 't'))	(('66', 'h'), ('32', 'h'))	(('66', 't'), ('59', 't'))	
67	0.0	2.70152031028	0.5625	64
Link list:	(('60', 'h'), ('67', 't'))	(('67', 'h'), ('32', 'h'))	(('67', 't'), ('59', 't'))	
68	0.0	1.4910858424	0.389830508475	59
Link list:	(('68', 'h'), ('53', 'h'))	(('68', 't'), ('29', 't'))	
69	0.0	1.32920596783	0.509433962264	53
Link list:	(('53', 'h'), ('69', 't'))	(('69', 'h'), ('58', 'h'))	
2	0.0011016803667	1.01244913099	0.520743357138	739779
Link list:	(('2', 'h'), ('54', 't'))	(('53', 't'), ('2', 't'))	
6	0.0	1.02570523556	0.535481453172	269507
Link list:	(('35', 'h'), ('6', 't'))	(('76', 'h'), ('6', 'h'))	
11	0.0	1.06078321237	0.532190813513	89218
Link list:	(('11', 'h'), ('53', 't'))	(('81', 't'), ('11', 't'))	
10	0.0	0.945334716737	0.512720682017	89382
Link list:	(('10', 'h'), ('82', 't'))	(('43', 't'), ('10', 't'))	
13	0.905523590334	5.94242771007	0.503835826621	52140
Link list:	(('13', 'h'), ('48', 't'))	(('36', 'h'), ('13', 't'))	
12	0.0	1.09627742357	0.533956840147	76877
Link list:	(('20', 'h'), ('12', 'h'))	(('45', 't'), ('12', 't'))	
15	0.910515600587	2.92070814153	0.503598314474	42242
Link list:	(('39', 'h'), ('15', 't'))	(('49', 'h'), ('15', 'h'))	(('39', 't'), ('15', 't'))	
14	0.859633497361	2.81786712364	0.482198125181	44911
Link list:	(('14', 'h'), ('37', 't'))	(('37', 'h'), ('14', 'h'))	(('49', 't'), ('14', 't'))	
17	0.0	1.07308668544	0.541164433929	31277
Link list:	(('17', 'h'), ('64', 't'))	(('33', 'h'), ('17', 't'))	
16	0.821763005014	11.3391797463	0.411783431042	37697
Link list:	(('16', 'h'), ('16', 't'))	
19	0.0	1.00775598449	0.494457640538	10104
Link list:	(('75', 'h'), ('19', 't'))	
18	0.0	1.20754949342	0.506308177552	25998
Link list:	(('18', 'h'), ('64', 't'))	(('33', 'h'), ('18', 't'))	
48	1.0	9.91970996494	0.594059405941	202
Link list:	(('13', 'h'), ('48', 't'))	(('48', 'h'), ('30', 't'))	(('48', 'h'), ('31', 't'))	(('84', 'h'), ('48', 't'))	
49	1.0	3.55306707779	0.628571428571	175
Link list:	(('24', 'h'), ('49', 't'))	(('49', 'h'), ('15', 'h'))	(('49', 'h'), ('84', 't'))	(('49', 't'), ('14', 't'))	
46	1.0	9.41900219557	0.556910569106	246
Link list:	(('46', 'h'), ('25', 'h'))	(('46', 'h'), ('27', 't'))	(('46', 't'), ('24', 't'))	(('46', 't'), ('26', 't'))	
47	0.0	4.39070718982	0.507246376812	207
Link list:	(('47', 'h'), ('38', 'h'))	(('47', 't'), ('41', 't'))	
44	0.0	5.90845494064	0.467391304348	276
Link list:	(('44', 'h'), ('71', 't'))	(('70', 'h'), ('44', 'h'))	(('86', 'h'), ('44', 't'))	
45	0.0	1.97137236516	0.4921875	256
Link list:	(('9', 'h'), ('45', 't'))	(('45', 'h'), ('81', 't'))	(('80', 'h'), ('45', 'h'))	(('45', 't'), ('12', 't'))	
42	0.0	11.5157539891	0.529126213592	412
Link list:	(('77', 'h'), ('42', 'h'))	(('78', 'h'), ('42', 'h'))	(('85', 'h'), ('42', 't'))	(('86', 't'), ('42', 't'))	
43	0.0	2.68374187095	0.537688442211	398
Link list:	(('34', 'h'), ('43', 't'))	(('43', 'h'), ('7', 'h'))	(('43', 'h'), ('34', 't'))	(('43', 't'), ('10', 't'))	
40	0.0	5.23588082853	0.463302752294	436
Link list:	(('40', 'h'), ('85', 't'))	(('40', 'h'), ('88', 't'))	(('72', 'h'), ('40', 't'))	(('71', 't'), ('40', 't'))	
41	0.0	10.3385437602	0.539906103286	426
Link list:	(('41', 'h'), ('56', 't'))	(('55', 'h'), ('41', 'h'))	(('61', 'h'), ('41', 't'))	(('47', 't'), ('41', 't'))	
1	0.000347304193074	1.0	0.513129460475	1321608
Link list:	(('1', 'h'), ('20', 't'))	(('75', 'h'), ('1', 't'))	
5	0.00498655039475	1.02905456335	0.531111316119	411908
Link list:	(('5', 'h'), ('33', 't'))	(('20', 't'), ('5', 't'))	
9	0.0	1.03106895205	0.521549847627	137820
Link list:	(('9', 'h'), ('45', 't'))	(('82', 't'), ('9', 't'))	
77	0.0	6.22387136898	0.526315789474	38
Link list:	(('63', 'h'), ('77', 't'))	(('77', 'h'), ('42', 'h'))	(('77', 't'), ('62', 't'))	
76	0.0	3.68326738324	0.5	40
Link list:	(('76', 'h'), ('6', 'h'))	(('82', 'h'), ('76', 'h'))	(('76', 't'), ('53', 't'))	
75	0.0	3.4226029521	0.478260869565	46
Link list:	(('75', 'h'), ('4', 'h'))	(('75', 'h'), ('1', 't'))	(('75', 'h'), ('19', 't'))	(('75', 't'), ('35', 't'))	
74	0.0	2.13792128846	0.617021276596	47
Link list:	(('39', 'h'), ('74', 't'))	(('74', 'h'), ('37', 't'))	(('74', 't'), ('39', 't'))	
73	0.0	1.09605825872	0.617021276596	47
Link list:	(('37', 'h'), ('73', 't'))	(('73', 'h'), ('39', 'h'))	
72	0.0	4.21302129531	0.395833333333	48
Link list:	(('56', 'h'), ('72', 't'))	(('72', 'h'), ('40', 't'))	(('72', 't'), ('55', 't'))	
71	0.0	5.51499550041	0.38	50
Link list:	(('44', 'h'), ('71', 't'))	(('71', 'h'), ('55', 't'))	(('71', 't'), ('40', 't'))	
70	0.0	3.63753457754	0.38	50
Link list:	(('56', 'h'), ('70', 't'))	(('70', 'h'), ('44', 'h'))	
79	0.0	2.56340203478	0.375	16
Link list:	(('21', 'h'), ('79', 't'))	(('51', 'h'), ('79', 't'))	(('87', 'h'), ('79', 'h'))	
78	0.0	4.16107618451	0.578947368421	38
Link list:	(('63', 'h'), ('78', 't'))	(('78', 'h'), ('42', 'h'))	(('78', 't'), ('62', 't'))	
