plasmid_0;30+,52+,23+,36+,13+,48+,31+,52+,25+,46-,24+,49+,15-,39+,73-,37-,14-
plasmid_4;27-,46-,26+,36+,13+,48+,30+
# 27	0.960901563937	3.71002840098	2174
# 46	1.0	5.41900219557	246
# 26	0.886533665835	3.88596228315	2406
# 36	0.993299832496	1.97893409871	597
# 13	0.905523590334	2.94242771007	52140
# 48	1.0	6.91970996494	202
# 30	0.831628638867	3.03953938017	1271

plasmid_5;27-,46-,26+,36+,13+,48+,30+
# 27	0.960901563937	2.71002840098	2174
# 46	1.0	4.41900219557	246
# 26	0.886533665835	2.88596228315	2406
# 36	0.993299832496	0.978934098708	597
# 13	0.905523590334	1.94242771007	52140
# 48	1.0	5.91970996494	202
# 30	0.831628638867	2.03953938017	1271

plasmid_6;26-,46+,27+
# 26	0.886533665835	1.88596228315	2406
# 46	1.0	3.41900219557	246
# 27	0.960901563937	1.71002840098	2174

plasmid_7;13+,48+,30+
# 13	0.905523590334	0.942427710066	52140
# 48	1.0	4.91970996494	202
# 30	0.831628638867	1.03953938017	1271

plasmid_8;26-,46+,27+
# 26	0.886533665835	0.885962283145	2406
# 46	1.0	2.41900219557	246
# 27	0.960901563937	0.710028400978	2174

plasmid_9;49+,84+,48+,31+
# 49	1.0	0.553067077795	175
# 84	0.0	2.48846033511	11
# 48	1.0	3.91970996494	202
# 31	0.861538461538	0.691413411735	1235

plasmid_10;25+,46-
# 25	0.866458414682	0.185568750678	2561
# 46	1.0	1.41900219557	246

plasmid_11;16+
# 16	0.821763005014	11.3391797463	37697

plasmid_12;16+
# 16	0.821763005014	10.3391797463	37697

plasmid_13;16+
# 16	0.821763005014	9.33917974633	37697

plasmid_14;16+
# 16	0.821763005014	8.33917974633	37697

plasmid_15;16+
# 16	0.821763005014	7.33917974633	37697

plasmid_16;16+
# 16	0.821763005014	6.33917974633	37697

plasmid_17;16+
# 16	0.821763005014	5.33917974633	37697

plasmid_18;16+
# 16	0.821763005014	4.33917974633	37697

plasmid_19;16+
# 16	0.821763005014	3.33917974633	37697

plasmid_20;16+
# 16	0.821763005014	2.33917974633	37697

plasmid_21;16+
# 16	0.821763005014	1.33917974633	37697

plasmid_22;23+
# 23	0.793968253968	2.86453416434	3150

plasmid_23;23+
# 23	0.793968253968	1.86453416434	3150

plasmid_24;23+
# 23	0.793968253968	0.864534164335	3150

plasmid_25;28+
# 28	0.472328244275	84.9987492556	2096

plasmid_26;28+
# 28	0.472328244275	83.9987492556	2096

plasmid_27;28+
# 28	0.472328244275	82.9987492556	2096

plasmid_28;28+
# 28	0.472328244275	81.9987492556	2096

plasmid_29;28+
# 28	0.472328244275	80.9987492556	2096

plasmid_30;28+
# 28	0.472328244275	79.9987492556	2096

plasmid_31;28+
# 28	0.472328244275	78.9987492556	2096

plasmid_32;28+
# 28	0.472328244275	77.9987492556	2096

plasmid_33;28+
# 28	0.472328244275	76.9987492556	2096

plasmid_34;28+
# 28	0.472328244275	75.9987492556	2096

plasmid_35;28+
# 28	0.472328244275	74.9987492556	2096

plasmid_36;28+
# 28	0.472328244275	73.9987492556	2096

plasmid_37;28+
# 28	0.472328244275	72.9987492556	2096

plasmid_38;28+
# 28	0.472328244275	71.9987492556	2096

plasmid_39;28+
# 28	0.472328244275	70.9987492556	2096

plasmid_40;28+
# 28	0.472328244275	69.9987492556	2096

plasmid_41;28+
# 28	0.472328244275	68.9987492556	2096

plasmid_42;28+
# 28	0.472328244275	67.9987492556	2096

plasmid_43;28+
# 28	0.472328244275	66.9987492556	2096

plasmid_44;28+
# 28	0.472328244275	65.9987492556	2096

plasmid_45;28+
# 28	0.472328244275	64.9987492556	2096

plasmid_46;28+
# 28	0.472328244275	63.9987492556	2096

plasmid_47;28+
# 28	0.472328244275	62.9987492556	2096

plasmid_48;28+
# 28	0.472328244275	61.9987492556	2096

plasmid_49;28+
# 28	0.472328244275	60.9987492556	2096

plasmid_50;28+
# 28	0.472328244275	59.9987492556	2096

plasmid_51;28+
# 28	0.472328244275	58.9987492556	2096

plasmid_52;28+
# 28	0.472328244275	57.9987492556	2096

plasmid_53;28+
# 28	0.472328244275	56.9987492556	2096

plasmid_54;28+
# 28	0.472328244275	55.9987492556	2096

plasmid_55;28+
# 28	0.472328244275	54.9987492556	2096

plasmid_56;28+
# 28	0.472328244275	53.9987492556	2096

plasmid_57;28+
# 28	0.472328244275	52.9987492556	2096

plasmid_58;28+
# 28	0.472328244275	51.9987492556	2096

plasmid_59;28+
# 28	0.472328244275	50.9987492556	2096

plasmid_60;28+
# 28	0.472328244275	49.9987492556	2096

plasmid_61;28+
# 28	0.472328244275	48.9987492556	2096

plasmid_62;28+
# 28	0.472328244275	47.9987492556	2096

plasmid_63;28+
# 28	0.472328244275	46.9987492556	2096

plasmid_64;28+
# 28	0.472328244275	45.9987492556	2096

plasmid_65;28+
# 28	0.472328244275	44.9987492556	2096

plasmid_66;28+
# 28	0.472328244275	43.9987492556	2096

plasmid_67;28+
# 28	0.472328244275	42.9987492556	2096

plasmid_68;28+
# 28	0.472328244275	41.9987492556	2096

plasmid_69;28+
# 28	0.472328244275	40.9987492556	2096

plasmid_70;28+
# 28	0.472328244275	39.9987492556	2096

plasmid_71;28+
# 28	0.472328244275	38.9987492556	2096

plasmid_72;28+
# 28	0.472328244275	37.9987492556	2096

plasmid_73;28+
# 28	0.472328244275	36.9987492556	2096

plasmid_74;28+
# 28	0.472328244275	35.9987492556	2096

plasmid_75;28+
# 28	0.472328244275	34.9987492556	2096

plasmid_76;28+
# 28	0.472328244275	33.9987492556	2096

plasmid_77;28+
# 28	0.472328244275	32.9987492556	2096

plasmid_78;28+
# 28	0.472328244275	31.9987492556	2096

plasmid_79;28+
# 28	0.472328244275	30.9987492556	2096

plasmid_80;28+
# 28	0.472328244275	29.9987492556	2096

plasmid_81;28+
# 28	0.472328244275	28.9987492556	2096

plasmid_82;28+
# 28	0.472328244275	27.9987492556	2096

plasmid_83;28+
# 28	0.472328244275	26.9987492556	2096

plasmid_84;28+
# 28	0.472328244275	25.9987492556	2096

plasmid_85;28+
# 28	0.472328244275	24.9987492556	2096

plasmid_86;28+
# 28	0.472328244275	23.9987492556	2096

plasmid_87;28+
# 28	0.472328244275	22.9987492556	2096

plasmid_88;28+
# 28	0.472328244275	21.9987492556	2096

plasmid_89;28+
# 28	0.472328244275	20.9987492556	2096

plasmid_90;28+
# 28	0.472328244275	19.9987492556	2096

plasmid_91;28+
# 28	0.472328244275	18.9987492556	2096

plasmid_92;28+
# 28	0.472328244275	17.9987492556	2096

plasmid_93;28+
# 28	0.472328244275	16.9987492556	2096

plasmid_94;28+
# 28	0.472328244275	15.9987492556	2096

plasmid_95;28+
# 28	0.472328244275	14.9987492556	2096

plasmid_96;28+
# 28	0.472328244275	13.9987492556	2096

plasmid_97;28+
# 28	0.472328244275	12.9987492556	2096

plasmid_98;28+
# 28	0.472328244275	11.9987492556	2096

plasmid_99;28+
# 28	0.472328244275	10.9987492556	2096

plasmid_100;28+
# 28	0.472328244275	9.99874925564	2096

plasmid_101;28+
# 28	0.472328244275	8.99874925564	2096

plasmid_102;28+
# 28	0.472328244275	7.99874925564	2096

plasmid_103;28+
# 28	0.472328244275	6.99874925564	2096

plasmid_104;28+
# 28	0.472328244275	5.99874925564	2096

plasmid_105;28+
# 28	0.472328244275	4.99874925564	2096

plasmid_106;28+
# 28	0.472328244275	3.99874925564	2096

plasmid_107;28+
# 28	0.472328244275	2.99874925564	2096

plasmid_108;28+
# 28	0.472328244275	1.99874925564	2096

plasmid_109;28+
# 28	0.472328244275	0.998749255642	2096

plasmid_110;22+
# 22	0.388790035587	42.3780170787	3372

plasmid_111;22+
# 22	0.388790035587	41.3780170787	3372

plasmid_112;22+
# 22	0.388790035587	40.3780170787	3372

plasmid_113;22+
# 22	0.388790035587	39.3780170787	3372

plasmid_114;22+
# 22	0.388790035587	38.3780170787	3372

plasmid_115;22+
# 22	0.388790035587	37.3780170787	3372

plasmid_116;22+
# 22	0.388790035587	36.3780170787	3372

plasmid_117;22+
# 22	0.388790035587	35.3780170787	3372

plasmid_118;22+
# 22	0.388790035587	34.3780170787	3372

plasmid_119;22+
# 22	0.388790035587	33.3780170787	3372

plasmid_120;22+
# 22	0.388790035587	32.3780170787	3372

plasmid_121;22+
# 22	0.388790035587	31.3780170787	3372

plasmid_122;22+
# 22	0.388790035587	30.3780170787	3372

plasmid_123;22+
# 22	0.388790035587	29.3780170787	3372

plasmid_124;22+
# 22	0.388790035587	28.3780170787	3372

plasmid_125;22+
# 22	0.388790035587	27.3780170787	3372

plasmid_126;22+
# 22	0.388790035587	26.3780170787	3372

plasmid_127;22+
# 22	0.388790035587	25.3780170787	3372

plasmid_128;22+
# 22	0.388790035587	24.3780170787	3372

plasmid_129;22+
# 22	0.388790035587	23.3780170787	3372

plasmid_130;22+
# 22	0.388790035587	22.3780170787	3372

plasmid_131;22+
# 22	0.388790035587	21.3780170787	3372

plasmid_132;22+
# 22	0.388790035587	20.3780170787	3372

plasmid_133;22+
# 22	0.388790035587	19.3780170787	3372

plasmid_134;22+
# 22	0.388790035587	18.3780170787	3372

plasmid_135;22+
# 22	0.388790035587	17.3780170787	3372

plasmid_136;22+
# 22	0.388790035587	16.3780170787	3372

plasmid_137;22+
# 22	0.388790035587	15.3780170787	3372

plasmid_138;22+
# 22	0.388790035587	14.3780170787	3372

plasmid_139;22+
# 22	0.388790035587	13.3780170787	3372

plasmid_140;22+
# 22	0.388790035587	12.3780170787	3372

plasmid_141;22+
# 22	0.388790035587	11.3780170787	3372

plasmid_142;22+
# 22	0.388790035587	10.3780170787	3372

plasmid_143;22+
# 22	0.388790035587	9.37801707868	3372

plasmid_144;22+
# 22	0.388790035587	8.37801707868	3372

plasmid_145;22+
# 22	0.388790035587	7.37801707868	3372

plasmid_146;22+
# 22	0.388790035587	6.37801707868	3372

plasmid_147;22+
# 22	0.388790035587	5.37801707868	3372

plasmid_148;22+
# 22	0.388790035587	4.37801707868	3372

plasmid_149;22+
# 22	0.388790035587	3.37801707868	3372

plasmid_150;22+
# 22	0.388790035587	2.37801707868	3372

plasmid_151;22+
# 22	0.388790035587	1.37801707868	3372

