plasmid_0;113-,83+,92-,89-,30-,56+,47+,102+,106-,71+,99+,38+,93+,21-,119-,90-,81+,101-,49-,60-,43-,104+,111-,65-,33-,55-,42-,73+,82+,112-,125-,36-,76-,54+,63+,39-
plasmid_19;31+
# 31	0.880427562051	17.306628093	16559

plasmid_20;31+
# 31	0.880427562051	16.306628093	16559

plasmid_21;31+
# 31	0.880427562051	15.306628093	16559

plasmid_22;31+
# 31	0.880427562051	14.306628093	16559

plasmid_23;31+
# 31	0.880427562051	13.306628093	16559

plasmid_24;31+
# 31	0.880427562051	12.306628093	16559

plasmid_25;31+
# 31	0.880427562051	11.306628093	16559

plasmid_26;31+
# 31	0.880427562051	10.306628093	16559

plasmid_27;31+
# 31	0.880427562051	9.30662809297	16559

plasmid_28;31+
# 31	0.880427562051	8.30662809297	16559

plasmid_29;31+
# 31	0.880427562051	7.30662809297	16559

plasmid_30;31+
# 31	0.880427562051	6.30662809297	16559

plasmid_31;31+
# 31	0.880427562051	5.30662809297	16559

plasmid_32;31+
# 31	0.880427562051	4.30662809297	16559

plasmid_33;31+
# 31	0.880427562051	3.30662809297	16559

plasmid_34;31+
# 31	0.880427562051	2.30662809297	16559

plasmid_35;31+
# 31	0.880427562051	1.30662809297	16559

plasmid_36;63-,131-,93-
# 63	1.0	0.313849687063	1632
# 131	0.0	1.13108472299	15
# 93	1.0	0.562434147773	174

plasmid_37;60+
# 60	0.921610169492	0.763502181712	1888

plasmid_38;48+
# 48	0.359976775692	53.39976815	5167

plasmid_39;48+
# 48	0.359976775692	52.39976815	5167

plasmid_40;48+
# 48	0.359976775692	51.39976815	5167

plasmid_41;48+
# 48	0.359976775692	50.39976815	5167

plasmid_42;48+
# 48	0.359976775692	49.39976815	5167

plasmid_43;48+
# 48	0.359976775692	48.39976815	5167

plasmid_44;48+
# 48	0.359976775692	47.39976815	5167

plasmid_45;48+
# 48	0.359976775692	46.39976815	5167

plasmid_46;48+
# 48	0.359976775692	45.39976815	5167

plasmid_47;48+
# 48	0.359976775692	44.39976815	5167

plasmid_48;48+
# 48	0.359976775692	43.39976815	5167

plasmid_49;48+
# 48	0.359976775692	42.39976815	5167

plasmid_50;48+
# 48	0.359976775692	41.39976815	5167

plasmid_51;48+
# 48	0.359976775692	40.39976815	5167

plasmid_52;48+
# 48	0.359976775692	39.39976815	5167

plasmid_53;48+
# 48	0.359976775692	38.39976815	5167

plasmid_54;48+
# 48	0.359976775692	37.39976815	5167

plasmid_55;48+
# 48	0.359976775692	36.39976815	5167

plasmid_56;48+
# 48	0.359976775692	35.39976815	5167

plasmid_57;48+
# 48	0.359976775692	34.39976815	5167

plasmid_58;48+
# 48	0.359976775692	33.39976815	5167

plasmid_59;48+
# 48	0.359976775692	32.39976815	5167

plasmid_60;48+
# 48	0.359976775692	31.39976815	5167

plasmid_61;48+
# 48	0.359976775692	30.39976815	5167

plasmid_62;48+
# 48	0.359976775692	29.39976815	5167

plasmid_63;48+
# 48	0.359976775692	28.39976815	5167

plasmid_64;48+
# 48	0.359976775692	27.39976815	5167

plasmid_65;48+
# 48	0.359976775692	26.39976815	5167

plasmid_66;48+
# 48	0.359976775692	25.39976815	5167

plasmid_67;48+
# 48	0.359976775692	24.39976815	5167

plasmid_68;48+
# 48	0.359976775692	23.39976815	5167

plasmid_69;48+
# 48	0.359976775692	22.39976815	5167

plasmid_70;48+
# 48	0.359976775692	21.39976815	5167

plasmid_71;48+
# 48	0.359976775692	20.39976815	5167

plasmid_72;48+
# 48	0.359976775692	19.39976815	5167

plasmid_73;48+
# 48	0.359976775692	18.39976815	5167

plasmid_74;48+
# 48	0.359976775692	17.39976815	5167

plasmid_75;48+
# 48	0.359976775692	16.39976815	5167

plasmid_76;48+
# 48	0.359976775692	15.39976815	5167

plasmid_77;48+
# 48	0.359976775692	14.39976815	5167

plasmid_78;48+
# 48	0.359976775692	13.39976815	5167

plasmid_79;48+
# 48	0.359976775692	12.39976815	5167

plasmid_80;48+
# 48	0.359976775692	11.39976815	5167

plasmid_81;48+
# 48	0.359976775692	10.39976815	5167

plasmid_82;48+
# 48	0.359976775692	9.39976815004	5167

plasmid_83;48+
# 48	0.359976775692	8.39976815004	5167

plasmid_84;48+
# 48	0.359976775692	7.39976815004	5167

plasmid_85;48+
# 48	0.359976775692	6.39976815004	5167

plasmid_86;48+
# 48	0.359976775692	5.39976815004	5167

plasmid_87;48+
# 48	0.359976775692	4.39976815004	5167

plasmid_88;48+
# 48	0.359976775692	3.39976815004	5167

plasmid_89;48+
# 48	0.359976775692	2.39976815004	5167

plasmid_90;48+
# 48	0.359976775692	1.39976815004	5167

